도서관명,시도명,시군구명,도서관유형,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),소재지도로명주소,부지면적,건물면적
성내도서관,서울특별시,강동구,공공도서관,208,80820,58,0,"서울특별시 강동구 성안로 106-1 (성내동, 성내도서관)",402.8,1414.86
해공도서관,서울특별시,강동구,공공도서관,214,87929,47,3133,"서울특별시 강동구 올림픽로 702 (천호동, 해공공원)",987,1766.93
강일도서관,서울특별시,강동구,공공도서관,214,93459,30,3136,"서울특별시 강동구 아리수로93길 9-14,4,5층(강일동)",1252,1208
암사도서관,서울특별시,강동구,공공도서관,391,93601,34,2069,"서울특별시 강동구 고덕로20길 42 (암사동, 암사도서관)",642,1759.05
천호도서관,서울특별시,강동구,공공도서관,138,45727,12,506,"서울특별시 강동구 성안로31마길 1(천호동, 천호도서관)",2537.81,997
둔촌도서관,서울특별시,강동구,공공도서관,221,18911,89,0,"서울특별시 강동구 동남로49길 21-8(둔촌동, 둔촌도서관)",793,996.95
청라호수도서관,인천광역시,서구,공공도서관,199,105896,63,2682,인천광역시 서구 크리스탈로 59,,
검암도서관,인천광역시,서구,공공도서관,210,50296,38,10336,인천광역시 서구 검암로 20번길 20,,
마전도서관,인천광역시,서구,공공도서관,490,51834,50,664,인천광역시 서구 원당대로 563,,
강화도서관,인천광역시,강화군,공공도서관,401,78122,804,3584,인천광역시 강화군 강화읍 북문길 9번길 18,,
내가도서관,인천광역시,강화군,공공도서관,44,16695,0,0,인천광역시 강화군 내가면 강화서로249,,
지혜의숲도서관,인천광역시,깅화군,공공도서관,193,18117,0,0,인천광역시 강화군 선원면 대문고개로 131,,
백령도서관,인천광역시,옹진군,공공도서관,45,25395,0,0,인천광역시 옹진군 백령면 백령로260,,
대청도서관,인천광역시,옹진군,공공도서관,50,19312,0,0,인천광역시 옹진군 대청면 대청리 750,,
영흥도서관,인천광역시,옹진군,공공도서관,71,35274,0,0,인천광역시 옹진군 영흥면 영흥로 283-31,,
연평도서관,인천광역시,옹진군,공공도서관,30,6953,0,0,인천광역시 옹진군 연평면 연평로 184,,
은천동작은도서관,서울특별시,관악구,공공도서관,89,50713,28,1270,서울특별시 관악구 봉천로 33나길 30,1075,2974
조원작은도서관,서울특별시,관악구,공공도서관,120,61840,62,3655,서울특별시 관악구 조원로 12길 25,801,2668
은광작은도서관,대구광역시,북구,작은도서관,10,1600,0,0,대구광역시 북구 동화천로 205(연경동),,43.2
이편한세상대구금호작은도서관,대구광역시,북구,작은도서관,39,1321,0,0,"대구광역시 북구 내곡로 49(사수동,이편한세상대구금호)",,141.37
책마실도서관,대구광역시,북구,작은도서관,30,7729,2,100,"대구광역시 북구 구리로 25-19, 2층(학정동)",,165.6
천년나무작은도서관,대구광역시,북구,작은도서관,15,1302,2,0,"대구광역시 북구 내곡로 69(사수동, 대구금호엘에이치천년나무5단지)",,64.25
칠곡그린빌4단지 도서실,대구광역시,북구,작은도서관,24,5186,3,0,"대구광역시 북구 구암서로 22(구암동, 그린빌4)",,54.11
우당도서관,제주특별자치도,제주시,공공도서관,847,254789,169,31065,제주특별자치도 제주시 사라봉동길 30,24389,7037
제주시기적의도서관,제주특별자치도,제주시,공공도서관,100,50831,15,1483,제주특별자치도 제주시 동광로 12길19,2126,728
조천읍도서관,제주특별자치도,제주시,공공도서관,180,74529,21,2432,제주특별자치도 제주시 조천읍 일주동로 1189,9336,1231
탐라도서관,제주특별자치도,제주시,공공도서관,979,223108,151,22627,제주특별자치도 제주시 정원로 50,15897,4998
애월도서관,제주특별자치도,제주시,공공도서관,181,77263,16,2776,제주특별자치도 제주시 애월읍 일주서로 6339,3599,1501
한경도서관,제주특별자치도,제주시,공공도서관,124,61652,21,1873,제주특별자치도 제주시 한경면 신한로13,5852,1048
복현푸르지오작은도서관,대구광역시,북구,작은도서관,16,1120,0,0,"대구광역시 북구 동북로 345, 복현푸르지오UZ센터(복현동, 복현푸르지오)",,148.5
북구 어린이 도서관,대구광역시,북구,작은도서관,30,13848,3,0,"대구광역시 북구 검단로 71-17, 북구청소년회관(산격동)",,95
북구 영어작은도서관,대구광역시,북구,작은도서관,40,8711,11,0,대구광역시 북구 고성로 31길 21(고성동주민센터 1층),,90
브라운스톤도서관,대구광역시,북구,작은도서관,40,7124,3,0,"대구광역시 북구 내곡로 89(사수동,브라운스톤강북)",,130.62
사과나무 작은도서관,대구광역시,북구,작은도서관,20,2132,2,0,"대구광역시 북구 대동로 33, 2층(산격동)",,50
산격1동 작은도서관,대구광역시,북구,작은도서관,30,6227,2,0,대구광역시 북구 연암공원로 89(산격동),,106
산격종합사회복지관늘푸른도서관,대구광역시,북구,작은도서관,8,7305,30,0,"대구광역시 북구 연암로 183, 산격종합사회복지관(산격동)",,51
서변동 작은도서관,대구광역시,북구,작은도서관,40,10791,8,0,대구광역시 북구 호국로 57길 6,,200
서변숲 도서관,대구광역시,북구,공공도서관,251,30597,48,0,대구광역시 북구 서변로 3길 54(서변동),,2007.3
성광우방타운 주민도서실,대구광역시,북구,작은도서관,24,4800,0,0,"대구광역시 북구 호암로 20(칠성동2가,성광우방타운)",,125
세움작은도서관,대구광역시,북구,작은도서관,8,1500,0,0,"대구광역시 북구 산격로 29, 2층(산격동)",,36
스타힐스작은도서관,대구광역시,북구,작은도서관,20,4088,16,0,"대구광역시 북구 내곡로 70(사수동, 대구금호스타힐스엔에이치에프6단지)",,84.47
아름다운작은도서관,대구광역시,북구,작은도서관,12,1520,0,0,대구광역시 북구 중앙대로105길 27(칠성동2가),,39.6
연암도서관,대구광역시,북구,공공도서관,82,13940,15,142,"대구광역시 북구 동북로26길 25-1, 2층, 3층",,322.3
열린 작은도서관,대구광역시,북구,작은도서관,10,1683,9,0,대구광역시 북구 구리로38길 3-8(국우동),,62.85
예미지숲속의아침작은도서관,대구광역시,북구,작은도서관,28,5700,0,0,"대구광역시 북구 연경중앙로11(연경동,연경금성백조예미지숲속의아침)",,90
수락작은도서관,서울특별시,노원구　,작은도서관,39,19434,0,0,서울특별시 노원구 덕릉로 859,227,
해솔작은도서관,서울특별시,노원구　,작은도서관,12,14757,0,0,서울특별시 노원구 한글비석로 434,70,
메아리작은도서관,서울특별시,노원구　,작은도서관,14,14966,0,0,서울특별시 노원구 노해길 183,121.1,
표선도서관,제주특별자치도,서귀포시,공공도서관,148,76496,28,3413,제주특별자치도 서귀포시 표선면 표선백사로 110번길 17-10,5840,2039
퐁낭(동홍동)작은도서관,제주특별자치도,서귀포시,작은도서관,43,5036,3,50,제주특별자치도 서귀포시 동홍중앙로 56(동홍동),,
중앙꿈쟁이(중앙동)작은도서관,제주특별자치도,서귀포시,작은도서관,40,9512,1,0,제주특별자치도 서귀포시 동문로 39 4층,,
보목꿈터작은도서관,제주특별자치도,서귀포시,작은도서관,30,8980,6,20,제주특별자치도 서귀포시 칠십리로 483-1(송산동),,
(신례1리)예촌작은도서관,제주특별자치도,서귀포시,작은도서관,29,7200,4,0,제주특별자치도 서귀포시 남원읍 신례중앙로 37,,
(세화2리)갯머리작은도서관,제주특별자치도,서귀포시,작은도서관,20,5739,4,0,제주특별자치도 서귀포시 표선면 일주동로 6276,,
온평 열운이작은도서관,제주특별자치도,서귀포시,작은도서관,28,5452,13,0,제주특별자치도 서귀포시 성산읍 온평애향로 23번길 6,,
용흥 작은도서관,제주특별자치도,서귀포시,작은도서관,25,5538,0,0,제주특별자치도 서귀포시 용흥로 55(대천동),,
전하2동작은도서관,울산광역시,동구,작은도서관,21,2332,0,0,울산광역시 동구 진성4길 45,,438
바다가보이는작은도서관,울산광역시,동구,작은도서관,30,3477,0,30,울산광역시 동구 봉수로 155,,828
해누리문고작은도서관,울산광역시,동구,작은도서관,30,9064,0,0,울산광역시 동구 방어진순환도로 501,,132
더불어숲작은도서관,울산광역시,동구,작은도서관,32,5334,6,0,울산광역시 동구 대학길40-1,,16952
드림작은도서관,울산광역시,동구,작은도서관,15,1500,1,0,울산광역시 동구 월봉10길 70,,60
명덕이음작은도서관,울산광역시,동구,작은도서관,20,4085,0,0,울산광역시 동구 명덕로 70,,7933
우리동네작은도서관,울산광역시,동구,작은도서관,26,1500,0,0,울산광역시 동구 바드래4길 74-1,,6657
꿈샘도서관,울산광역시,동구,작은도서관,16,5000,0,0,울산광역시 동구 남목18길 27,,141
상록수독서문화원,울산광역시,동구,작은도서관,24,5474,0,0,울산광역시 동구 문재2나길 4,,396
로뎀나무작은도서관,울산광역시,동구,작은도서관,30,3061,0,0,울산광역시 동구 꽃바위로 380,,67
충남도서관,충청남도,홍성군,공공도서관,811,280873,146,139988,충청남도 홍성군 홍북읍 도청대로 577,31146,12172.1
봉담커피앤북작은도서관,경기도,화성시,작은도서관,18,11941,11,0,경기도 화성시 봉담읍 상리3길 38,92,92
늘봄이음터작은도서관,경기도,화성시,작은도서관,21,8782,9,0,"경기도 화성시 동탄대로24길 49, 3층",138,138
남양도서관,경기도,화성시,공공도서관,756,122968,66,0,경기도 화성시 남양읍 역골중앙로 143,4556,4499
태안도서관,경기도,화성시,공공도서관,359,115287,48,4629,경기도 화성시 화산중앙로 19,4423,4506
삼괴도서관,경기도,화성시,공공도서관,186,86775,53,4063,경기도 화성시 우정읍 쌍봉로 109-26,6612,1965
병점도서관,경기도,화성시,공공도서관,275,132985,59,4860,경기도 화성시 병점3로 132-6,49171,2620
두빛나래어린이도서관,경기도,화성시,어린이도서관,142,72335,42,2197,경기도 화성시 동탄숲속로 69-14,13593,1628
봉담도서관,경기도,화성시,공공도서관,737,130996,75,4014,경기도 화성시 봉담읍 샘마을1길 8-4,2394,4574
둥지나래어린이도서관,경기도,화성시,어린이도서관,78,79310,46,2084,경기도 화성시 향남읍 행정중앙2로 88,47003,1619
동탄복합문화센터도서관,경기도,화성시,공공도서관,1066,199993,83,4285,경기도 화성시 노작로 134,304627,6464
송산도서관,경기도,화성시,공공도서관,396,86249,38,3083,경기도 화성시 송산면 삼일공원로 87,8070,3907
정남도서관,경기도,화성시,공공도서관,83,45396,42,1632,경기도 화성시 정남면 만년로 527,1713,567
진안도서관,경기도,화성시,공공도서관,471,91689,78,2427,경기도 화성시 병점중앙로 229,43268,2931
